Composition,Delta_H,Pressure,Temperature
V.855Cr.145,29.7,50,50
ZrFeMo,29.8,0.6,30
Pd.9Co.1,29.8,4,80
ZrFe1.4Cr.6,29.9,3,20
TiFe.9Al.1,30,1.2,25
Ti.9Zr.2Mn1.6Cr.2(VFe).2,30,7,25
Zr.7Ti.3CrFe,30,0.8,23
Zr.8Ti.2FeMn,30,1.6,30
SmCo5,30,5,25
LaCaMgNi6Al.3,30,0.4,20
LaCaMgNi6Al3,30,0.4,20
LaNi5,30.1,2.4,21
LaNi5,30.1,0.1,-40
LaNi5,30.2,1.7,25
TiFe.8Be.2,30.5,0.7,21
TiFe.9Cr.1,30.5,20,150
Ti.8Zr.2Mn1.2V.2Cr.6,30.5,2.2,20
Ti.8Zr.2Mn1.6V.2Cr.2,30.5,2,20
PrNi5,30.5,8,23
TiFe.9Co.1,30.6,5,50
Pd.972Ir.028,30.7,0.1,25
Pd.90Pt.10,30.7,3,80
Pd.92Pt.08,30.7,1.8,80
LaNi5,30.8,1.8,25
Pd.975Mo.025,30.8,0.16,30
Pd.98V.02,30.8,0.1,25
YCo2,31,,
ZrFeMn,31,10,150
ZrMn1.22Fe1.14,31,2,40
GdCo2,31,,
Pd.85Rh.15,31,2.7,50
Mg2Ni,31.3,3.7,300
Mg2Ni,31.3,3.7,300
Ti.9Zr.2Mn1.6Ni.2V.2,31.7,2.7,25
Ti.96Zr.04Fe.95Nb.04,31.8,1.4,30
LaNi5,31.8,1,15
CaNi5,31.9,0.5,25
ZrCrFeMn.8,32,0.6,23
ZrMn2.5,32,0.07,50
LaNi4.6Cu0.3Mn0.1,32,1,35
LaNi4.95Sn.05,32,14,100
LaNi4.9Sn0.1,32,2.1,35
LaNi2Cu3,32,1.1,35
LuCo3,32,5.9,20
ZrFe1.5V.5,32.2,0.25,50
CaNi5,32.2,0.33,20
YCo5,32.2,28,31
Er6Mn23,32.3,,
LaCaMgNi6Mn.3,32.3,1,20
LaCaMgNi6Mn3,32.3,1.3,20
ErNi4Al,32.4,2.1,0
La.8Ce.2Ni4.8Sn.25,32.4,1.1,25
Pd.9Rh.1,32.4,0.6,50
Pd.925Rh.075,32.4,0.3,30
Pd.95Ni.025Rh.025,32.6,0.32,50
TiMn1.3Fe.11,32.7,6,24
GdNi4.5Al.5,32.7,7,20
LaNi4.8Sn.2,32.8,0.47,25
La0.75Ce0.25Ni4Cu0.9Al0.1,32.9,1,22
ZrMn1.2Fe0.4,33,0.4,50
Ho.6Zr.4Co2,33,0.2,50
Zr.79Ti.21MnFe1.02,33,1.5,30
LaNi4.9Al0.1,33,1.5,35
LaNi3Cu2,33,1.8,35
LaCaMgNi9,33,2.5,20
LaCaMgNi9,33,2.5,20
Pd.95Pt.05,33,0.17,30
TiV1.6Ni.4,33.2,1,120
Pr2Co7,33.3,10,100
CaTiMgNi9,33.4,1,20
CaTiMgNi9,33.4,1.1,20
LaNi4.4B.6,33.5,0.3,25
LaNi4.8Sn0.2,33.5,1.1,35
La0.75Ce0.25Ni4Cu0.8Al0.2,33.5,0.7,22
ZrMn2.7,33.6,3,100
Gd3Ni6Al2,33.6,5.6,300
LaNi4.75Al0.25,33.7,1.2,35
TbNi4Al,33.7,0.9,20
LaNi4.7Si.3,33.8,1,25
CaNi5,33.9,0.7,25
LaNi4Cu,33.9,4,60
ZrCrFe1.2,34,7,120
LaNi4.6Ge0.4,34,8,100
LaNi4.7Al.3,34,0.42,25
LaNi4Cr,34,0.04,25
La0.8Ce0.2Co5,34,0.18,20
Ti.23Mn.36V.41,34,4,40
LaNi4.6Si0.4,34.2,12,100
La0.75Pr0.25Ni4.5Cu0.3Al0.2,34.2,0.8,22
Pd.95Rh.05,34.2,0.13,30
ZrCo1.5V.5,34.3,1.5,50
LaNi4.6Ge.4,34.3,0.78,30
PrCo5,34.3,13.5,100
LaNi4Fe,34.5,0.11,40
Ho6Mn23,34.6,,
Pd.95Sb.05,34.6,0.07,100
TiFe.7Mn.2,34.7,1.4,40
LaNi4.4Zn.6,34.8,0.3,20
LaNi4.7Al0.3,34.9,0.7,20
SmCo5,34.9,3.2,20
Ti.8Zr.2Mn1.7V.2Mo.1,35,1,14
Zr2Ni5,35,0.8,60
CaNi3,35,0.4,20
ErAg,35.2,0.01,790
TiV1.8Ni.2,35.3,0.08,90
La.5Ca1.5MgNi9,35.4,0.7,20
LaNi3Cr0.5Cu1.5,35.5,0.62,22
TiFe.9Ni.1,35.6,1.8,50
LaNi4.6Si.4,35.6,0.67,30
MgYNi4,35.8,4,40
HoNi4Al,35.9,4,60
ZrCrFe,36,2,51
ZrFe1.6Al.4,36,10,24
ZrMn2,36,3,210
HoCo3,36,6,100
Pd.975Rh.025,36,0.06,30
LaNi4Fe0.5Cu0.5,36.1,0.48,22
LaNi4.7Mn0.3,36.2,0.9,20
LaNi4.6Al.4,36.4,0.64,48
LaNi4.5Si.5,36.5,0.5,25
Ho2Co7,36.7,5,50
LaNi2FeCu2,36.9,0.55,22
Ce0.8Pr0.2Co5,37,1.42,20
LaNi3FeCu,37.2,0.33,22
ZrMn2,37.4,0.01,50
Pd.95Sc.05,37.4,0.04,50
Pd.96Pt.04,37.4,0.4,80
CaNi5,37.7,0.5,25
Pd.95Bi.05,37.8,0.16,100
ZrCr2Ni.8,37.9,1,100
La0.2Pr0.8Co5,38,0.23,20
La0.4Ce0.6Co5,38,0.65,20
La0.8Pr0.2Co5,38,0.11,20
ErCo3,38,10,100
Y2Co7,38,0.25,20
CeCo3,38.1,0.2,50
CeCo3,38.1,0.3,79
LaNi4.6Sn0.4,38.2,4,100
La.8Ce.2Ni4.25Co.5Sn.25,38.2,0.8,25
Pd.95Co.05,38.2,0.6,81
La0.75Ce0.25Ni4Cu0.9Ti0.1,38.4,1.1,22
ZrMo2,38.5,,
Ce0.4Pr0.6Co5,38.5,1,20
Ce0.6Pr0.4Co5,38.5,1.26,20
LaNi4.6Sn.4,38.5,0.08,20
LaNi4.5Al.5,38.6,0.6,60
Ti.5Zr.5V.5Ni1.3Zr.2,38.8,,
ZrMn1.8,38.8,0.1,50
LaNi4.65Mn0.2Al0.15,38.8,0.6,20
Ti.5Zr.5Mn1.2Fe.3,39,1.5,120
Ce0.2Pr0.8Co5,39,0.23,20
CeCo5,39,1.45,20
LaNi4.5Mn0.3Al0.3,39.3,0.2,35
LaNi4.6Mn.4,39.4,0.15,25
Y4.3Sc.7Si2.6Ge.4,39.4,1.5,426
Y5Si3C.5,39.5,,
Lu6Fe23,39.7,2,0
ErNi3.5Al1.5,39.8,2.5,115
LaNi4.6In.4,39.8,0.05,20
ErCo3,39.8,0.2,50
Zr(Ni.6V.2Mn.2)2.4,39.9,0.3,30
HfNi,40,1,190
Ti.5Zr.5Mn2,40,1.5,70
CeCo5,40,1.45,20
LaNi4Al0.5Cu0.5,40,0.09,22
